G/L Account	Company Code	Chart of Accounts	Tax Category	Language Key	Short Text	G/L Acct Long Text	Hierarchy Level	ID	Text	IDoc number	Message Text
201905	5000	DCOA	-	EN	Travel - ADF	Travel - ADF	0	0		0	
201906	1000	DCOA	-	EN	Leave Trav rec Mil	Travel ADF - Recreation leave	0	0		0	
201906	5000	DCOA	-	EN	Leave Trav rec Mil	Travel ADF - Recreation leave	0	0		0	
201907	1000	DCOA	-	EN	Rec lve Trav ATO Mil	Travel ADF - Recreation leave (ATO remote)	0	0		0	
201907	5000	DCOA	-	EN	Rec lve Trav ATO Mil	Travel ADF - Recreation leave (ATO remote)	0	0		0	
201908	1000	DCOA	-	EN	TravelADF-reunion	Travel ADF - Reunion	0	0		0	
201908	5000	DCOA	-	EN	TravelADF-reunion	Travel ADF - Reunion	0	0		0	
201909	1000	DCOA	-	EN	Stud Reun Trv YR9-12	Travel ADF - Student reunion (yrs 9-12)	0	0		0	
201909	5000	DCOA	-	EN	Stud Reun Trv YR9-12	Travel ADF - Student reunion (yrs 9-12)	0	0		0	
201910	1000	DCOA	-	EN	Stud Reunion Oth Mil	Travel ADF - Student reunion (other)	0	0		0	
201910	5000	DCOA	-	EN	Stud Reunion Oth Mil	Travel ADF - Student reunion (other)	0	0		0	
201911	1000	DCOA	-	EN	Dep Reunion Trv Mil	Travel ADF - Dependents reunion	0	0		0	
201911	5000	DCOA	-	EN	Dep Reunion Trv Mil	Travel ADF - Dependents reunion	0	0		0	
201912	1000	DCOA	-	EN	Remote Local leave	Travel ADF - Remote locality leave	0	0		0	
201912	5000	DCOA	-	EN	Remote Local leave	Travel ADF - Remote locality leave	0	0		0	
201913	1000	DCOA	-	EN	RLLT-Fam or ext Fam	Travel ADF - Remote locality leave: Family	0	0		0	
201913	5000	DCOA	-	EN	RLLT-Fam or ext Fam	Travel ADF - Remote locality leave: Family	0	0		0	
201914	1000	DCOA	-	EN	Rem Loc Trav non Mil	Travel ADF - Remote local leave: Non-ATO defined	0	0		0	
201914	5000	DCOA	-	EN	Rem Loc Trav non Mil	Travel ADF - Remote local leave: Non-ATO defined	0	0		0	
201915	1000	DCOA	-	EN	RLT - Mem non Mil	Travel ADF - Remote local leave family:Non - ATO	0	0		0	
201915	5000	DCOA	-	EN	RLT - Mem non Mil	Travel ADF - Remote local leave family:Non - ATO	0	0		0	
201916	1000	DCOA	-	EN	TravelADF-medical	ADF Travel Conditions of Service - Medical	0	0		0	
201916	5000	DCOA	-	EN	TravelADF-medical	ADF Travel Conditions of Service - Medical	0	0		0	
201918	1000	DCOA	-	EN	Compass Travel Mil	ADF Travel Conditions of Service - Compassionate	0	0		0	
